song_id,song_name,Artist,Lyrics,Type
C 42,Adaraneeya Neranjana,Priya Suriyasena,"ආදරණීය නේරංජනා
ආදරණීය නේරංජනා
ආදරණීය නේරංජනා
ආදරණීය නේරංජනා

ආදරණීය නේරංජනා
ආදරණීය නේරංජනා


ඔබේ මුදු මදහස් රැළි මාලාවේ
වෙලී බැදුණු දින රඟ ශාලාවේ
තුන් හිතකින්වත් නොසිතූ විලසින්
යළි ඔබ දැකුමට ආ වේලාවේ

අප හමු වූ ගෙවුයන් සීමාවේ
එක මොහොතක් පමණකි තනි වූයේ
මටම ම පුදුමයි අදහන්නට බෑ
මම ම නොවේ යළි ඉන් පිට වූයේ


කවුදෝ මා පසු පස එනු දැනුණා
පාළු වීදියේ තනිකම මැකුණා
ජීවමාන කිසිවකු සිටියේ නෑ
එනමුදු කවුදෝ ඇති බව වැකුණා

නිදියහනේ මා නින්දට වැටුණා
ඔබ මා සිහිනෙන් අමතනු පෙනුණා
එනමුදු කෙලෙසද ඇගේ අත ගන්නේ
මගේ සිතම මට මුමුණනු ඇසුනා


ආදරණීය නේරංජනා
ආදරණීය නේරංජනා
ආදරණීය නේරංජනා
ආදරණීය නේරංජනා

ආදරණීය නේරංජනා
ආදරණීය නේරංජනා
ආදරණීය නේරංජනා
ආදරණීය නේරංජනා",Calm
C 43,Kandula Itin Samaweyan,Keerthi Pasquel,"කඳුළ ඉතිං සමාවෙයන්
අපි වෙන්වෙමු අද හවසට
මගෙ ගෙපැලට ඈ එනවා
සිරි යහනේ තනි රකින්න....
කඳුළ ඉතිං සමාවෙයන්
අපි වෙන්වෙමු අද හවසට
මගෙ ගෙපැලට ඈ එනවා
සිරි යහනේ තනි රකින්න....

කළු වළාව නැගෙන්නෙ එපා
ගඟට උඩින් හැන්දෑවට
මුදුන් ලීයෙ යටින් පොලොවේ
ගොම හේදෙයි අළුත් පිටම
කන්ද කපා හඳ පායා
සඳ රැස් යහනට වඩින්න
සඳ එළියෙන් ඇගේ ගතේ
පිපි ගෝමර මල් දකින්න


කඳුළ ඉතිං සමාවෙයන්
අපි වෙන්වෙමු අද හවසට
මගෙ ගෙපැලට ඈ එනවා
සිරි යහනේ තනි රකින්න....

මල් දෙවැටේ වතුසුදු මල්
පිපේවි ඈ පිළිගන්නට
උපුල් තලා ඔමරි සිනා
මතුවෙයි මල් පරදන්නට
බිළිඳු ගෙනා කිරි සුවඳක්
ගෙපැල දොරින් හමා එන්න
ඉඩ දීයන් වළාකුලේ
මගෙ සිහිනයෙ මල් පිපෙන්න


කඳුළ ඉතිං සමාවෙයන්
අපි වෙන්වෙමු අද හවසට
මගෙ ගෙපැලට ඈ එනවා
සිරි යහනේ තනි රකින්න....
කඳුළ ඉතිං සමාවෙයන්
අපි වෙන්වෙමු අද හවසට
මගෙ ගෙපැලට ඈ එනවා
සිරි යහනේ තනි රකින්න....",Calm
C 44,Sanasum Susuman Pavila,TM Jayarathna,"සැනසුම් සුසුමන් පාවීලා
සඳ කැන් වතුරෙන් නෑවීලා
සැනසුම් සුසුමන් පාවීලා
සඳ කැන් වතුරෙන් නෑවීලා
තරු මල් අතරින් රිංගාලා
කොහි යන්නෙද මා තනි කරලා
සැනසුම් සුසුමන් පාවීලා
සඳ කැන් වතුරෙන් නෑවීලා
රෑ සද පානේ සීතල පවනේ
නා මල් අරණේ ළා දළු සෙවනේ
මා ලය කර ඔබගේ සුව යහනේ
ගෙවූ අතීතය මතකද මිහිරේ
ගෙවූ අතීතය මතකද මිහිරේ
සැනසුම් සුසුමන් පාවීලා
සඳ කැන් වතුරෙන් නෑවීලා
තරු මල් අතරින් රිංගාලා
කොහි යන්නෙද මා තනි කරලා
සැනසුම් සුසුමන් පාවීලා
සඳ කැන් වතුරෙන් නෑවීලා
දෑසට පෙනෙනා එකම රුවක් වෙයි
ඒ රුව මා නෙත් අංජනයයි
ජීවන ගීතේ තනුව වයන්නෙමි
ඈ එන තුරු මා තනිවීලා
ඈ එන තුරු මා තනිවීලා
සැනසුම් සුසුමන් පාවීලා
සඳ කැන් වතුරෙන් නෑවීලා
තරු මල් අතරින් රිංගාලා
කොහි යන්නෙද මා තනි කරලා
සැනසුම් සුසුමන් පාවීලා
සඳ කැන් වතුරෙන් නෑවීලා",Calm
C 45,Duhul Malaka Mal Peththaka,Nirosha Virajini,"දුහුල් මලක මල් පෙත්තක
ඒහා මෙහා පෙනෙන පරිදි
සියුම්ව ලිව්වාවූ මගේ පෙම් පණිවිඩය
සමනළයෙක් අතේ ඒව්වා හම්බවුනාද
බාර ගන්න පරිස්සමින් තටු පොඩි නොකර
මගේ පෙම් පණිවිඩය

හම්බ වුනාදැයි කියලා ලියලා ඒවන්න
ඔබ වෙනුවෙන් තව දුරටත් ජීවත් වෙන්න...

ඔබට කැමති වූ දවසේ
දැනුනු හැගුමෙ පාට තමයි
දේදුන්නක් වෙලා දෑස් වෙත පාත් උනේ
ඒ සතුටේ සුසුම තමයි - නළමුදු සුවදක් වී
හිත තෙත මාත්තු කලේ
ඒ බව හැගෙනවනම් මට කියලා ඒවන්න
ඒ අැති මට ඔබ වෙනුවෙන් ජීවත් වෙන්න...

ඔබ නික්මන් කල දවසේ
උනපු කදුලෙ තරම තමයි
පොද වැස්සක් වෙලා පොළවට පාත් උනේ
ඒ කදුලේ බලය තමයි - මහවැලි ගග මැද්දේ
දිය සුලියක් වූයේ
ඒ බව හැගෙනවනම් මට කියලා ඒවන්න

ඒ ටික අැති තව දුරටත් ජීවත් වෙන්න...
දුහුල් මලක මල් පෙත්තක
ඒහා මෙහා පෙනෙන පරිදි
සියුම්ව ලිව්වාවූ මගේ පෙම් පණිවිඩය
සමනළයෙක් අතේ ඒව්වා හම්බවුනාද
බාර ගන්න පරිස්සමින් තටු පොඩි නොකර

මගේ පෙම් පණිවිඩය
හම්බ වුනාදැයි කියලා ලියලා ඒවන්න
ඔබ වෙනුවෙන් තව දුරටත් ජීවත් වෙන්න...",Calm
C 46,Malak Wela Oba Pipenna,Sunil Edirisinghe,"මලක් වෙලා ඔබ පිපෙන්න.
ආදරේ... සුවඳ දෙන්න.
ගඟක් වගේ ඔබ ගලන්න.
සෙනෙහසින්.... පිරී යන්න.

මලක් වෙලා ඔබ පිපෙන්න.
ආදරේ... සුවඳ දෙන්න.
ගඟක් වගේ ඔබ ගලන්න.
සෙනෙහසින්.... පිරී යන්න.


ප්‍රේමයේ... රස කල්පනා....
හදවතේ... තව මවා... දෙන්න

ප්‍රේමයේ... රස කල්පනා....
හදවතේ... තව මවා... දෙන්න
නැවුම් සඳක් වී... මල් මාවතේ...
මුතු සලා... ඔබ සිනා...සෙන්න


මලක් වෙලා ඔබ පිපෙන්න.
ආදරේ... සුවඳ දෙන්න.
ගඟක් වගේ ඔබ ගලන්න.
සෙනෙහසින්.... පිරී යන්න.

මා නෙතේ... සුව සිහිනයේ...
මේ ලෙසේ.... ඔබ රැඳී... ඉන්න

මා නෙතේ... සුව සිහිනයේ...
මේ ලෙසේ.... ඔබ රැඳී... ඉන්න
පවන් රොදක් සේ... මා ලඟ වෙලී...
ජීවිතේ.... දුක නිවා....ලන්න


මලක් වෙලා ඔබ පිපෙන්න.
ආදරේ... සුවඳ දෙන්න.
ගඟක් වගේ ඔබ ගලන්න.
සෙනෙහසින්.... පිරී යන්න.

මලක් වෙලා ඔබ පිපෙන්න.
ආදරේ... සුවඳ දෙන්න.
ගඟක් වගේ ඔබ ගලන්න.
සෙනෙහසින්.... පිරී යන්න.",Calm
C 47,Wali Thala Athare Hemihita Basina,W. D. Amaradeva,"වැලිතල අතරේ හෙමිහිට බසිනා
වැලිතල අතරේ හෙමිහිට බසිනා
නේරංජන නදියේ ගයා හිස
වැඩ සිට බුදු වුණුදා
තිලෝ හිමි මොක්සුව ලද මොහොතේ
සමාධි භාවනා
සමාධි භාවනා

හිම කඳු වැටියේ.. සීතල හෙවණේ
හිම කඳු වැටියේ.. සීතල හෙවණේ
චන්දන තුරු පීරා..
චන්දන තුරු පීරා
ඇදී එන.. මල්‌ මුවරද රසිනේ
සමග මුසු.. කෝමල මඳ පවනේ
ගැටීලා පාවෙනා
ගැටීලා පාවෙනා

සත්සර නඟලා.. ටික ටික සෙලවී
සත්සර නඟලා.. ටික ටික සෙලවී
සිරි මා බෝ හිමිගේ මනෝහර
පළුපත්‌ අතු රිකිලි
නටා ගිය තාලෙහි රස නැගුණා
සරාගී ජීවනා
සරාගී පීවනා

සඟමිත් මෙහෙණිය දකුණේ ශාඛා
සඟමිත් මෙහෙණිය දකුණේ ශාඛා
සිටරලක ගෙන ආ දා..
සිරලක ගෙන ආ දා..
සිටම තම මහමෙව්නා උයනේ
නටයි කොළ වන්නම ලෙස මහබෝ
සුමීරි නාදෙනා
සුමීරි නාදෙනා",Calm
C 48,Sanda Pini Diye,Rookantha Gunathilaka,"සඳ පිණි දියේ හිම කුමරියේ
ජීවිත කැලේ පිපි මල් වැලේ
සඳ පිණි දියේ හිම කුමරියේ
ජීවිත කැලේ පිපි මල් වැලේ
මා හා බැඳී ගිනි කාෂ්ඨකේ
කඳු හෙල් දිගේ සැඩ මාරුතේ

ඔබ හමා යනවා
මම හමා යනවා

නෙතින් ගලනා

කඳුලු වැල් ගංගාවෝ
සවිය දෙනවා
පරදන්න මායාවෝ

මල් රොනින් මලින් පිරී
දිනෙන් දිනේ ගෙවෙයී
ආදරේ සදා සුසුම් නොවෙයී...


සඳ පිණි දියේ හිම කුමරියේ
ජීවිත කැලේ පිපි මල් වැලේ


මෙලෝ වසනා
තුරා ලඟ මා ඉන්නම්
කඳුලු පිසදා
ඔබව සනහා..ලන්නම්

ආදරේ හිනාවෙවී
ආදරේ හඬයී
ජීවිතේ කා හටත් ඔහොමයී....


සඳ පිණි දියේ හිම කුමරියේ
ජීවිත කැලේ පිපි මල් වැලේ
මා හා බැඳී ගිනි කාෂ්ඨකේ

කඳු හෙල් දිගේ සැඩ මාරුතේ

ඔබ හමා යනවා
මම හමා යනවා

ඔබ සිනාසෙනවා
මම සිනාසෙනවා",Calm
C 49,Chandra Me Ra Paya Awa,HR Jothipala,"චන්ද්‍රා මේ රෑ පාය ආවා...
හර්දේ පෙමින් නාව නාවා...
මේ ආදරේ වාසනාවන්...
දුක් වේදනාවන් නිවේවා..
චන්ද්‍රා මේ රෑ පාය ආවා...
හර්දේ පෙමින් නාව නාවා...
මේ ආදරේ වාසනාවන්...
දුක් වේදනාවන් නිවේවා..


ආ..ආ.... ආ ආ ආ ආ...ආ ආ..
ආ..ආ.... ආ ආ ආ ආ...ආ ආ..
ඔබගේ සිනාවෙන් මුලාවී..
මේ රෑ පවා මල් පිපේවී..
රන් තාරකාවෝ සිනාසී..
ප්‍රේමේ අමා ගී ගයාවී..
ආසාව ආවාට මෝරා...
හැමදාම ඔබ මාගෙ වේවා..
චන්ද්‍රා මේ රෑ පාය ආවා...
හර්දේ පෙමින් නාව නාවා...
මේ ආදරේ වාසනාවන්...
දුක් වේදනාවන් නිවේවා..


ආ..ආ.... ආ ආ ආ ආ...ආ ආ..
ආ..ආ.... ආ ආ ආ ආ...ආ ආ..
සතුටයි සැපයි ඔබය මාගේ..
ඔබ පෙම්වතී පෙම්වතාගේ..
සතුටයි සැපයි ඔබය මාගේ..
ඔබ පෙම්වතී පෙම්වතාගේ..
අරගන්න ඔබෙ දෑත සුරතල්...
දෛවේ මගේ පිහිට වේවා..
චන්ද්‍රා මේ රෑ පාය ආවා...
හර්දේ පෙමින් නාව නාවා...
මේ ආදරේ වාසනාවන්...
දුක් වේදනාවන් නිවේවා..

චන්ද්‍රා මේ රෑ පාය ආවා..
හර්දේ පෙමින් නාව නාවා..
මේ ආදරේ වාසනාවන්...
දුක් වේදනාවන් නිවේවා..",Calm
C 50,Sanda Rajiniye Oba Hiripoda Wassa Aran,Chamika Sirimanna,"සඳ රැජිණියෙ  ඔබ හිරිපොද වැස්ස අරන්‌
මගෙ යහනට එනවද මිගිදුම්‌ සලු අතරින්‌
හිම කැට චාගේ වැගිරෙන කදුළු අරන්‌
ඔබ ඈ චෙත යන්න ගිමින්‌
පෙම්‌ හිතක්‌ පතාගෙන මා හඬනා හැටි
කියලා දෙන්න ඉතිං .... කියලා දෙන්න ඉතිං

හැම ආත්මෙඳිම ඔබ දුන්නු කදුළු කැට

මට තාමත්‌ මතකයි .... මට අද වාගෙම මතකයි
ඒ සුවඳ මගෙන්‌ දුර ඈතට යනකොට

මං හැඩුවේ ඒකයි ... හැඩුවේ හැපුනේ ඒකයි
බැහැ මට ඉන්නට බැහැ

ඔබ නැනි ලොකය කලුවර අහස අහස වගෙයි
මේ ඔබ එනවානම්‌ කොතෙක්‌ කලක්‌ හරි

බලා ඉන්න ආසයි .... මග බලා ඉන්න ආසයි

එක රාත්‍රියක මහ නපුරු හීනයක්‌

මට අනතුරු අගවයි .... ඔබ අන්සතූ බව පවසයි

ඒ හීනයක්ම පමනක්‌ චේචායැයි

මගෙ හදවත මුමුණයි .... හැම නිස්සෙම ගිත මුමුණයි
නැහැ මම ඉන්නෙම නැහැ

ඔබ මට නැත්තනම්‌ හදවත හඩා වැටෙයි

නෑ ඔබ එනවාමයි ඇස්දෙක මගෙ මට

ඒ ගැන විස්වාසයි .... මට ඒ ගැන විස්වාසයි",Calm
C 51,Hitha Nambara Thaleta,B & S,"හිත නාඹර තාලෙට වෙල් දෙනි වල නැටුවා
එන හිමිදිරි සිහිලෙට හිතුවිලි කිති කැවුනා
එක පාරට මල් සුවඳක් දැනුනා
මදහාස නගා ඈ හොරැහින් වගේ බැලුවා
පාළු අම්බරයේ දේදුන්නක් ඇදිලා
පාට ගෑ විගසේ පාලුව සැගව ගියා
සීතලෙන් මිරිකී උදාවුනු මේ අරුණේ
පාලු වූ මහදේ කවුරුද තනි මැකුවේ
පාට සමනලයන් ආදර ගී මුමුණා
රෝස මකරන්දේ සුවඳට ඉව කෙරුවා
සීතලෙන් මිරිකී උදාවුනු මේ අරුණේ
පාළු වූ මහදේ කවුරුද තනි මැකුවේ",Calm
C 52,Sagara Tharanga,Jagath Wickramasinghe,"සා...ගර තරංගා
සුදු වෙරල සිඹින්නා

නුහුරු නුපුරුදු දූපතේ
ඔබයි මමයි
මමයි ඔබයි
නොඹිදෙන සෙනෙහසින්
මේ ගයන්නේ...
ආදරේ ගීතයයි


සාගර තරංගා
සුදු වෙරල සිඹින්නා

නුහුරු නුපුරුදු දූපතේ
ඔබයි මමයි
මමයි ඔබයි
නොඹිදෙන සෙනෙහසින්
මේ ගයන්නේ...
ආදරේ ගීතයයි


මහ සමුදුරින් එහා
මේ පුංචි නවාතැනේ..
දැල්වෙන පහන් සිලෙන්
ඔබේ දෙනෙතට එබී
මේ ගයන්නේ ආදරේ ගීතයයි


සාගර තරංගා
සුදු වෙරල සිඹින්නා
නුහුරු නුපුරුදු දූපතේ
ඔබයි මමයි
මමයි ඔබයි
නොඹිදෙන සෙනෙහසින්
මේ ගයන්නේ...
ආදරේ ගීතයයි

සිත ඉඟියකින් සැලී
ගිනියම් දිගන් තයේ
බොල් පිනි සුලන් දැලෙන්
ඔබේ දෙනෙතට එබී
මේ ගයන්නේ ආදරේ ගීතයයි

සා...ගර තරංගා
සුදු වෙරල සිඹින්නා

නුහුරු නුපුරුදු දූපතේ
ඔබයි මමයි
මමයි ඔබයි
නොඹිදෙන සෙනෙහසින්
මේ ගයන්නේ...


ආදරේ ගීතයයි
ආදරේ ගීතයයි
ආදරේ, ගීතයයි",Calm
C 53,Sudu Ath Powwek,Nirosha Virajini,"සුදු ඇත් පොව්වෙක් සුදු නෙළුම හොඩින් ගෙන
පැදකුණු නොකලත් සිරි යහනේ
පෙරුම් පුරා මා කුසට පැමිණි බිලිදු
මට රජ පැටියෙක්
හන් කිති කවමින් කුස තුල සක්මන් කරනා
නුඹ දගයෙකු වේ දැයි නිකමට මෙන් මට සිතෙනා
පැටියෝ නුඹ දුවක උනත් මට පුතෙකු උනත්
නුඹේ හිස පළදන්නේ වෙනසක් නැති එක ආදරයි
ආදරයයි... ආදරයයි ...
කුස තුල දැරුවැයි මතු බුදු වන පැතුමන් නෑ
ලෙය කිරි කර පෙවුවැයි උදම් අනන්නට රිසි නෑ
පැටියෝ නුඹ දුවක උනත් මට පුතෙකු උනත්
මා නුඹට පුදන්නේ සැබෑම දිදුලන ",Calm
C 54,Shantha Me Ra Yame,W. D. Amaradeva,"ශාන්ත මේ රෑ යාමේ දේ
කුමුදු මලේ සිරියා
සදකාන්ති වෑදි සෞමයා

ශාන්ත මේ රෑ යාමේ දේ
කුමුදු මලේ සිරියා
සදකාන්ති වෑදි සෞමයා


එයී නෑගි ප්‍රේම තරන්ගා
එයී නෑගි හද ප්‍රේම තරන්ගා

මේ අමා දහරේ මේ අමා දහරේ
නෙක තුරුලිය නෑලවෙන්නේ
මේ සීතල මද පවනේ


ශාන්ත මේ රෑ යාමේ දේ
කුමුදු මලේ සිරියා
සදකාන්ති වෑදි සෞමයා


හා ඈසේ වන කොකීල ගීතේ
හා ඈසේ වන කොකීල ගීතේ
සෝක යාවි සිදිලා වෙසග මෙ පුන් පෝදා
මාහිමි දිනු තයීලෝනා


ශාන්ත මේ රෑ යාමේ දේ
කුමුදු මලේ සිරියා
සදකාන්ති වෑදි සෞමයා


මේ රෑයේ ගීත ගයාලා
මේ රෑයේ ගීත ගයාලා
සුන්දර රග පාලා අතී සෝබන මෙ උයනේ
අපි නෑලවෙමු පෙම් දහරේ


ශාන්ත මේ රෑ යාමේ දේ
කුමුදු මලේ සිරියා
සදකාන්ති වෑදි සෞමයා

ශාන්ත මේ රෑ යාමේ දේ
කුමුදු මලේ සිරියා
සදකාන්ති වෑදි සෞමයා",Calm
C 55,Dura Pena Thanithala,Nanda Malani & T.M Jajarathna,"දුර පෙනෙන තැනිතලා අනුරාධපුර දිහා
පුන් පෝයා දා දේ ශ්‍රියා සාදු කිය කියා
දුර පෙනෙන තැනිතලා අනුරාධපුර දිහා
පුන් පෝයා දා දේ ශ්‍රියා සාදු කිය කියා
පුන් පෝයා දා දේ ශ්‍රියා සාදු කිය කියා


ඈත කිරි පාට පේන සරුසාර සෑය ලෙළෙනවා
සෑය ලෙළෙනවා
නැඟෙන රිදී සීනු හඩින් ගුවන එළි කලා
නැඟෙන රිදී සීනු හඩින් ගුවන එළි කලා
නැඟෙන රිදී සීනු හඩින් ගුවන එළි කලා
ගුවන එළි කලා

දුර පෙනෙන තැනිතලා අනුරාධපුර දිහා
පුන් පෝයා දා දේ ශ්‍රියා සාදු කිය කියා
පුන් පෝයා දා දේ ශ්‍රියා සාදු කිය කියා

ජේතවනරාම අභයගිරි වෙහෙර සාදු කිය කියා
කරමු වන්දනා
යමුද අනේ ඉවුර දිගේ තිසා වැව වටේ
යමුද අනේ ඉවුර දිගේ තිසා වැව වටේ
යමුද අනේ ඉවුර දිගේ තිසා වැව වටේ
තිසා වැව වටේ


දුර පෙනෙන තැනිතලා අනුරාධපුර දිහා
පුන් පෝයා දා දේ ශ්‍රියා සාදු කිය කියා
පුන් පෝයා දා දේ ශ්‍රියා සාදු කිය කියා",Calm
H 01,Oba Wewa Wewa Pahana Mage,,"ඔබ වේවා වේවා පහන මගේ
සුපුන් සඳ වාගේ දිලී.. රශ්මි විහිදා...


ඔබ වේවා වේවා පහන මගේ...
සුපුන් සඳ වාගේ දිලී රශ්මි විහිදා...

ඔබ වේවා වේවා පහන මගේ...

සුපුන් සඳ වාගේ දිලී රශ්මි විහිදා...


ආලේ ගඟුලේ තරංගනී
මාගේ දෙතොලේ සුපෙම් පැණී...
ආලේ ගඟුලේ තරංගනී
මාගේ දෙතොලේ සුපෙම් පැණී...
සීතල සුලඟක් වාගේ ඇවිදින්
ආදරේ රඟ කියා ගියා....
...............
ඔබ වේවා වේවා පහන මගේ
සුපුන් සඳ වාගේ දිලී- රශ්මි විහිදා....
............
ඔබ වේවා වේවා පහන මගේ
සුපුන් සඳ වාගේ දිලී- රශ්මි විහිදා


සාගර රැල්ලේ එතී එනූ..
නාදළු අතරේ වැසී යනූ..
සාගර රැල්ලේ එතී එනූ...
නාදළු අතරේ වැසී යනූ...
රෑ සෙවනැල්ලක් වාගේ ඇවිදින්...
පාන්දරින් ඇය ගියා ගියා...
............

ඔබ වේවා වේවා පහන මගේ
සුපුන් සඳ වාගේ දිලී රශ්මි විහිදා...

...............
ඔබ වේවා වේවා පහන මගේ
සුපුන් සඳ වාගේ දිලී රශ්මි විහිදා
.............
ඔබ වේවා වේවා පහන මගේ

සුපුන් සඳ වාගේ දිලී.. රශ්මි විහිදා",Happy
H 02,Unmadini Hanguna,B & S,"උන්මාදනී හැන්ගුනා අනුරාගි දෑසින් බලා
සොදුරුයි සුපෙම් ලෝචනා නෑසෙයි නුබේ ගායනා
දෙනුවන් සෙවූ අංජනා

රාධා මගෙයි අංගනා ........

මල්මී සුගන්දේ නැලවී වෙලී
මල් වැල් ගොතන්නේ රුන්දා වනේ
නිල්විල් තලාවේ කිමිදී මිදී
කොයිදැයි විදින්නේ සැන්දෑ සුවේ ......

රන් මිණි මැලුවුල් දම් බිදෙනා වෙලේ
කෝ කොයිද රාධා උන්මාදිනී .....

ගෝපීලියන් හා යමුනා තෙරේ
අවුදින් මුලාවූ රාධා මගේ
වස්සානයේ ආ මීකුලුවලින්
සන්තාපයේ ලා පොද වෑහුනේ ...

රන් මිණි මැලුවුල් දම් බිදෙනා වෙලේ
කෝ කොයිද රාධා උන්මාදිනී .....

උන්මාදනී හැන්ගුනා අනුරාගි දෑසින් බලා
සොදුරුයි සුපෙම් ලෝචනා නෑසෙයි නුබේ ගායනා
දෙනුවන් සෙවූ අංජනා
රාධා මගෙයි අංගනා ........",Happy
H 03,Pankiriththa Thakkita Tharikita,Freddie Silva,"පාන්‌ කිරිත්තා තක්කිට තරිකිට උඩ පැන පැන නටතෙයි
පාන්‌ කිරිත්තී රබාන අරගෙන කරබාගෙන වයතෙයි...
උන්ගේ පැටවුන්‌ වටේට ඉඳගෙන දෑතින්‌ හඬ තලතෙයි...
මේවා බල බල තනි කෑදැත්තෙක්‌ කීචි බීචි කියතෙයි...

පාන්‌ කිරීත්තා තමන්ගෙ පාඩුවෙ නැටුම පටන්‌ ගත්තේ...
අහල පහළ කිසිවෙකුටත්‌ ඒකෙන්‌ හිරිහැරයක්‌ නැත්තේ.....
කොහේද ඉඳ  පැමිණුනු කෑදැත්තා වහලා අර අත්තේ..
උන්ගේ නැටුමට බාධා කරමින්‌ ගීය පටන්‌ ගත්තේ...

පාන්‌ කිරිත්තා තක්කිට තරිකිට උඩ පැන පැන නටතෙයි
පාන්‌ කිරිත්තී රබාන අරගෙන කරබාගෙන වයතෙයි...
උන්ගේ පැටවුන්‌ වටේට ඉඳගෙන දෑතින්‌ හඬ තලතෙයි...
මේවා බල බල තනි කෑදැත්තෙක්‌ කීචි බීචි කියතෙයි...

පාන්‌ කිරීත්තා නැටුම නවත්තා කේන්තියෙන්‌ ආවා...
කෑදැත්තාගේ කළු අත්තටුවෙන්‌ අල්ලා සෙලවුවා...
ඊට පස්සෙ ඌ සට සට ගාලා මොන මොනවද කීවා..
ළඟට කිට්ටු වී මා දු ගොළුවතින්‌ ඊට සවන්‌ පෑවා...

අනුන්ගේ වැඩ ගැන විවේචනය කර කර ඉන්නවට වඩා...
තමන්‌ දන්න දේ හරියට කරපන්‌ කියලා කීය හඬා....

අනුන්ගේ වැඩ ගැන විවේචනය කර කර ඉන්නවට වඩා...
තමන්‌ දන්න දේ හරියට කරපන්‌ කියලා කීය හඬා....",Happy
H 04,Pata Podak Thilakala,H R Jothipala,"හොහෝ හෝ.....
හහා හා....
හොහෝ හෝ.....
හහා හා....

පාට පොදක් තිලකලා නලල් තලාවේ
කැලුම් වළලු නෙතින් අතුරලා...

මුතු සිනා සල සලා නැලවි නැළවි එ..
නිවන් මහද නීල වරලියේ...


ආල හැඟුම් පවසලා යොවුන් හිනාවේ
තුටින සලල රැඟුම් රඟ රඟා..
පෙම් කතා මල් පොටින් ලැමැද වසාලා
නිමා නොහැක ආල කුමරුනේ...

පාට පොදක් තිලකලා නලල් තලාවේ
කැලුම් වළලු නෙතින් අතුරලා


හොහෝ හෝ.....
හහා හා....
හොහෝ හෝ.....
හහා හා....



පෙමක සුවඳ සිතක සිහින සතපන්නේ
මල් නුවරේ.. පෙම් සුවඳේ

ඈත ඉරට හිනාවී රෑට මොනරු නටාවී
ඈත ඉරට හිනාවී රෑට මොනරු නටාවී
ආල වඩන ගීත සුරල් පාවේවී..

හොහෝ හෝ.....
හහා හා....
හොහෝ හෝ.....
හහා හා....


පාට පොදක් තිලකලා නලල් තලාවේ
කැලුම් වළලු නෙතින් අතුරලා

මුතු සිනා සල සලා නැලවි නැළවි එ..
නිවන් මහද නීල වරලියේ...


ආල හැඟුම් පවසලා යොවුන් හිනාවේ
තුටින සලල රැඟුම් රඟ රඟා..


හොහෝ හෝ.....
හහා හා....
හොහෝ හෝ.....

හහා හා....

ළමා ළපටි බොළඳ වදන් තෙපලන්නේ
පුංචි වියේ.. අන්දරසේ

සීත සිනා හෙලායා ආල සිතුම් සිතේයා
සීත සිනා හෙලායා ආල සිතුම් සිතේයා
සීතාවන් රුවන් ළඳුන් රා මා මා

හොහෝ හෝ.....
හහා හා....
හොහෝ හෝ.....
හහා හා....


පාට පොදක් තිලකලා නලල් තලාවේ
කැලුම් වළලු නෙතින් අතුරලා

මුතු සිනා සල සලා නැලවි නැළවි එ..
නිවන් මහද නීල වරලියේ...


ආල හැඟුම් පවසලා යොවුන් හිනාවේ
තුටින සලල රැඟුම් රඟ රඟා..
පෙම් කතා මල් පොටින් ලැමැද වසාලා
නිමා නොහැක ආල කුමරුනේ...

පාට පොදක් තිලකලා නලල් තලාවේ
කැලුම් වළලු නෙතින් අතුරලා


හොහෝ හෝ.....
හහා හා....
හොහෝ හෝ.....
හහා හා....

හොහෝ හෝ.....
හහා හා....
හොහෝ හෝ.....
හහා හා....",Happy
